lat,lon,LST_Kelvin_mean
37.5,15.25,297.7231314056604
37.5,21.5,297.3467795409191
37.5,21.75,294.85990955337166
37.5,22.0,293.95232732883284
37.5,22.25,292.972650699768
37.5,22.5,295.233806762255
37.5,22.75,297.8883294003415
37.5,23.0,297.64784389060287
37.5,23.25,297.0801489750241
37.5,23.5,296.4422914571209
37.5,24.0,296.04136904761896
37.5,24.25,296.7156764057531
37.5,24.5,297.0311508019901
37.5,24.75,295.4176747714196
37.5,25.0,296.2711923594796
37.5,25.25,296.1369976791728
37.5,26.0,293.72277497592916
37.5,26.25,294.24566140343745
37.5,26.5,293.46579560946645
37.5,26.75,295.8773263588262
37.5,27.0,296.00843552232527
37.5,27.25,298.451573622297
37.5,27.5,296.75189502119974
37.5,27.75,297.62557062672477
37.5,28.0,298.78772887934207
37.5,28.25,296.2966029888916
37.5,28.5,296.35634606864886
37.5,28.75,297.4921354175802
37.5,29.0,297.8839966603131
37.5,29.25,296.47304985375604
37.5,29.5,298.0501162754253
37.5,29.75,296.1519779541623
37.5,30.0,298.56571532659115
37.5,30.25,294.2513797708194
37.5,30.5,296.16575846363355
37.5,30.75,294.984462228544
37.5,31.0,292.14490224017055
37.5,31.25,291.58299579456013
37.5,31.5,291.9703008493109
37.5,31.75,294.12815183858214
37.5,32.0,296.31133991271156
37.5,32.25,296.7937735377581
37.5,32.5,301.2544921128466
37.5,32.75,299.9470867016432
37.5,33.0,301.11294628507164
37.5,33.25,300.2679940936316
37.5,33.5,302.2112769583315
37.5,33.75,301.68442320820816
37.5,34.0,299.7991584097789
37.5,34.25,297.5079143991146
37.5,34.5,293.09657228045
37.5,34.75,292.7976367378389
37.5,35.0,292.6396473568623
37.5,35.25,295.2017424436852
37.5,35.5,296.15559098295836
37.5,35.75,298.44850490162787
37.5,36.0,297.025285384821
37.5,36.25,294.9716789356437
37.5,36.5,293.69311286588044
37.5,36.75,298.6862153690363
37.5,37.0,301.9902602185638
37.5,37.25,301.28715532290073
37.5,37.5,303.49008504150424
37.5,37.75,304.04488763824065
37.5,38.0,304.89523655347796
37.75,-8.75,298.2554343525556
37.75,-8.5,300.42170208006974
37.75,-8.25,301.943644089967
37.75,-8.0,303.33019136252483
37.75,-7.75,303.3045544160776
37.75,-7.5,303.2425145097452
37.75,-7.25,302.65226486970715
37.75,-7.0,301.9708937538153
37.75,-6.75,300.51747890009096
37.75,-6.5,299.54347718837494
37.75,-6.25,300.3879790458088
37.75,-6.0,300.60090149933467
37.75,-5.75,300.65905544481313
37.75,-5.5,299.9470091856863
37.75,-5.25,299.71822218396727
37.75,-5.0,300.2503686908226
37.75,-4.75,302.45103947602007
37.75,-4.5,302.62811778685256
37.75,-4.25,301.8863387697136
37.75,-4.0,299.91480968140206
37.75,-3.75,298.00211603285794
37.75,-3.5,296.8854757206688
37.75,-3.25,299.50964873205163
37.75,-3.0,296.91905889114315
37.75,-2.75,298.3383200216841
37.75,-2.5,298.89104730134704
37.75,-2.25,297.6134411664132
37.75,-2.0,297.38123144159306
37.75,-1.75,299.7124126790658
37.75,-1.5,298.75035685033566
37.75,-1.25,300.53344323417986
37.75,-1.0,299.77502416752327
37.75,-0.75,297.79994709663634
37.75,12.5,297.3563449519576
37.75,12.75,297.7481785924546
37.75,13.0,297.482733579598
37.75,13.25,295.3737086876963
37.75,13.5,294.60694754226165
37.75,13.75,296.0649158381926
37.75,14.0,295.08158906800753
37.75,14.25,294.73510355416664
37.75,14.5,294.9626924347165
37.75,14.75,296.49522743126175
37.75,15.0,291.57228800570465
37.75,15.25,295.3066970315902
37.75,20.75,294.5793831124837
37.75,21.0,295.72417016046865
37.75,21.25,297.0039275474756
37.75,21.5,296.3790803193327
37.75,21.75,294.73181760293477
37.75,22.0,293.27691465275007
37.75,22.25,292.9105128128023
37.75,22.5,294.8881323302861
37.75,22.75,298.41459874591794
